titulo_original,titulo_revisado,autor,afiliação,orcid
qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (UNICAMP),
qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Antônio Abelém,Universidade Federal do Pará (UFPA),
Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Zeinab Rahmani,"Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal, International Iberian Nanotechnology Laboratory (INL) – Braga – Portugal",
Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Luis S. Barbosa,"International Iberian Nanotechnology Laboratory (INL) – Braga – Portugal, Department of Computer Science – University of Minho – Braga – Portugal, Instituto de Engenharia de Sistemas e Computadores, Tecnologia e Ciência (INESC TEC) Porto – Portugal",
Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Armando N. Pinto,"Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Margarida Almeida,,
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Daniel Pereira,,
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Nelson J. Muga,,
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Margarida Facão,,
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Armando N. Pinto,,
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Nuno A. Silva,,
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,"**Sara T. Mantey [1,2]",,
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,"Mariana F. Ramos [1,2]",,
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Nuno A. Silva,"Instituto de Telecomunicações – Aveiro Aveiro, Portugal.",
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,"Armando N. Pinto [1,2]",,
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,** **Nelson J. Muga**],"Instituto de Telecomunicações – Aveiro Aveiro, Portugal.",
Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Daniel Pereira,,
Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Nuno A. Silva,,
Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Armando N. Pinto,,
Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Antônio Abelém,Universidade Federal do Pará (UFPA),
Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (Unicamp),
Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,Don Towsley,Manning College of Information and Computer Sciences University of Massachusetts Amherst,
Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Nelson J. Muga,"Instituto de Telecomunicações – Aveiro Aveiro, Portugal.",
